"gene_id","rank"
"ENSG00000075884.14",380
"ENSG00000228655.7",381
"ENSG00000121964.15",382
"ENSG00000169554.23",383
"ENSG00000279166.1",384
"ENSG00000226674.11",385
"ENSG00000231079.7",386
"ENSG00000168280.18",387
"ENSG00000150556.17",388
"ENSG00000187123.15",389
"ENSG00000231969.4",390
"ENSG00000162947.5",391
"ENSG00000230645.2",392
"ENSG00000115963.14",393
"ENSG00000182389.20",394
"ENSG00000157827.20",395
"ENSG00000144278.15",396
"ENSG00000162989.5",397
"ENSG00000226383.7",398
"ENSG00000115159.16",399
"ENSG00000115165.10",400
"ENSG00000123612.16",401
"ENSG00000007001.13",402
"ENSG00000153237.18",403
"ENSG00000115183.15",404
"ENSG00000153246.13",405
"ENSG00000153250.21",406
"ENSG00000144290.17",407
"ENSG00000078098.15",408
"ENSG00000182263.14",409
"ENSG00000237844.2",410
"ENSG00000082438.18",411
"ENSG00000236283.5",412
"ENSG00000169507.10",413
"ENSG00000153253.20",414
"ENSG00000136531.19",415
"ENSG00000178662.16",416
"ENSG00000169432.19",417
"ENSG00000136546.17",418
"ENSG00000172318.6",419
"ENSG00000198648.12",420
"ENSG00000163072.16",421
"ENSG00000073734.10",422
"ENSG00000073737.17",423
"ENSG00000071909.19",424
"ENSG00000091409.16",425
"ENSG00000225205.5",426
"ENSG00000115935.19",427
"ENSG00000128656.15",428
"ENSG00000289349.1",429
"ENSG00000144320.14",430
"ENSG00000224577.4",431
"ENSG00000079156.17",432
"ENSG00000155657.29",433
"ENSG00000287149.1",434
"ENSG00000163492.16",435
"ENSG00000144331.20",436
"ENSG00000234663.7",437
"ENSG00000115232.14",438
"ENSG00000188452.15",439
"ENSG00000150722.11",440
"ENSG00000115252.19",441
"ENSG00000287621.1",442
"ENSG00000170396.9",443
"ENSG00000286797.1",444
"ENSG00000144369.14",445
"ENSG00000064989.13",446
"ENSG00000144366.17",447
"ENSG00000168542.16",448
"ENSG00000204262.14",449
"ENSG00000115419.13",450
"ENSG00000138378.19",451
"ENSG00000173559.15",452
"ENSG00000168497.5",453
"ENSG00000233766.8",454
"ENSG00000144339.12",455
"ENSG00000225539.9",456
"ENSG00000271893.1",457
"ENSG00000118997.14",458
"ENSG00000081320.11",459
"ENSG00000272211.1",460
