"gene_id","avg_rank"
"ENSG00000188257",1209
"ENSG00000118407",1209.2
"ENSG00000271945",1210.4
"ENSG00000128052",1211.2
"ENSG00000173369",1211.6
"ENSG00000157404",1211.6
"ENSG00000117318",1212
"ENSG00000226453",1214
"ENSG00000065833",1215.2
"ENSG00000250333",1215.6
"ENSG00000112182",1218.2
"ENSG00000121904",1219
"ENSG00000186409",1219.2
"ENSG00000092853",1220.2
"ENSG00000162415",1220.2
"ENSG00000228436",1221.2
"ENSG00000080493",1221.6
"ENSG00000109321",1222.8
"ENSG00000164418",1224.2
"ENSG00000174332",1225
"ENSG00000117461",1225.4
"ENSG00000249036",1225.6
"ENSG00000057657",1225.6
"ENSG00000162390",1225.8
"ENSG00000163738",1226.4
"ENSG00000173406",1226.6
"ENSG00000123473",1226.8
"ENSG00000112320",1227.4
"ENSG00000146285",1228.4
"ENSG00000169116",1228.4
"ENSG00000203995",1229.6
"ENSG00000223956",1230.4
"ENSG00000112394",1230.8
"ENSG00000010810",1232
"ENSG00000112769",1233
"ENSG00000249307",1234.2
"ENSG00000162437",1235.4
"ENSG00000033122",1235.8
"ENSG00000286540",1237.2
"ENSG00000162620",1238.4
"ENSG00000135549",1239.2
"ENSG00000122420",1240.4
"ENSG00000188580",1240.6
"ENSG00000236548",1241.6
"ENSG00000118785",1244.6
"ENSG00000230817",1244.8
"ENSG00000146374",1245.4
"ENSG00000234953",1245.6
"ENSG00000203943",1246.2
"ENSG00000196569",1247.2
"ENSG00000226149",1248.2
"ENSG00000246090",1248.4
"ENSG00000146376",1249.2
"ENSG00000164483",1250.2
"ENSG00000236915",1250.4
"ENSG00000055732",1250.4
"ENSG00000162669",1250.8
"ENSG00000097046",1251.4
"ENSG00000079819",1251.6
"ENSG00000117228",1252.2
"ENSG00000224081",1254.6
"ENSG00000118523",1254.8
"ENSG00000224445",1256.2
"ENSG00000112299",1257.2
"ENSG00000286150",1257.4
"ENSG00000093134",1258.2
"ENSG00000134243",1260.4
"ENSG00000138778",1261.2
"ENSG00000245384",1261.6
"ENSG00000168743",1261.6
"ENSG00000164023",1262
"ENSG00000171408",1264.6
"ENSG00000155011",1265.4
"ENSG00000163399",1265.8
"ENSG00000092607",1267.6
"ENSG00000138792",1268
"ENSG00000164089",1268.8
"ENSG00000183508",1269.6
"ENSG00000005059",1271.4
"ENSG00000197747",1273
"ENSG00000265107",1273.8
"ENSG00000172399",1274.2
"ENSG00000118495",1274.4
"ENSG00000143603",1276
"ENSG00000197956",1276.4
"ENSG00000050730",1276.4
"ENSG00000203727",1276.8
"ENSG00000227681",1277.8
"ENSG00000111961",1278.8
"ENSG00000111962",1279.8
"ENSG00000160856",1280
"ENSG00000183856",1280.4
"ENSG00000163534",1280.8
"ENSG00000289484",1281
"ENSG00000162739",1282.2
"ENSG00000120278",1282.6
"ENSG00000163568",1282.8
"ENSG00000158481",1283.2
"ENSG00000131016",1284.4
